,     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
0,20000,15,0,0.187,mwpf,a2c8b940dddc0b89f2528d1f0e06f7852d6f66f402bbbd4bc077aba5dfd4001f,"{""d"":3,""p"":0.0025118864315095794}",
1,20000,29,0,0.312,mwpf,2b4ae4b1e1293b7391671661c4e7d861fc5afcd4b0552c33914ec10a2098347f,"{""d"":3,""p"":0.0031622776601683794}",
2,20000,63,0,0.279,mwpf,cc3ce6d138c2f321c8a63c446bdf34dae76f71afdd038cc65d1611cb8d7ef3fb,"{""d"":3,""p"":0.005495408738576243}",
3,20000,533,0,0.582,mwpf,19c93023aafd380a96edac9ca5bc0cf3bc2fcaca84f0218ff9b8e910128e6ff7,"{""d"":3,""p"":0.012022644346174132}",
4,20000,1810,0,0.94,mwpf,758120dbcd03a4af8ac401f7d19274d01b2f83caac5a76f53c70bd47dfa0007c,"{""d"":3,""p"":0.01778279410038923}",
5,20000,3507,0,1.25,mwpf,95de2b5fa33855b68fcb6bfa85f645fb3c33c75521018bdde069f21dc1ce791e,"{""d"":3,""p"":0.026302679918953815}",
6,20000,7921,0,2.05,mwpf,599da838bd24f47cc7dffa083828f2697e18fed194bcb6a67402f6d29496f539,"{""d"":3,""p"":0.057543993733715694}",
7,20000,9018,0,4.15,mwpf,0dacd8a7ba99dcea36653151d8983702f2c4d59c71b7777afc4b6c46ce925aad,"{""d"":3,""p"":0.1}",
8,20000,9891,0,4.3,mwpf,3486b2046591a3903369a0848e1ab1835666b16df1c8703be3e72a11e3ff6146,"{""d"":3,""p"":0.12589254117941673}",
9,20000,2,0,1.16,mwpf,f6297d2dbf53ac51da4108985b9eb910e42843a38aefd74b24b7d516c00588e3,"{""d"":5,""p"":0.0025118864315095794}",
10,20000,2,0,1.94,mwpf,a9f86b7f5ca116c5063cc43d70857f79cf896f6608e58a3a7a6c941eb34c9dcd,"{""d"":5,""p"":0.0031622776601683794}",
11,20000,10,0,1.95,mwpf,bc35af822737ee8c9421fdfc89f2e33f19df92d753a185691bb29809defb7181,"{""d"":5,""p"":0.005495408738576243}",
12,20000,193,0,4.53,mwpf,14d94b7466faaf03b49cfcc0bce0dc23ca21326fafd3595412f7195185e505c1,"{""d"":5,""p"":0.012022644346174132}",
13,20000,982,0,11.5,mwpf,e0ba88e8c48e70a2698cb3447fe6d90b2a13c51fdcfdac1f2ae5c48d6a28d2ab,"{""d"":5,""p"":0.01778279410038923}",
14,20000,3594,0,12.0,mwpf,ebaaa798e9dcbe9dad5f8776123a0e288205fb8744f3dccf9ca8e3dbe444733d,"{""d"":5,""p"":0.026302679918953815}",
15,20000,9169,0,47.0,mwpf,92a74087ec9a7718c17cbbf9f28d632fa1f1aa0a0613add3610f886a5cca167e,"{""d"":5,""p"":0.057543993733715694}",
16,20000,9973,0,136.6,mwpf,48361783666be4eb7fa663409d235e9bed541a251ad6a29f31b82d27187ae729,"{""d"":5,""p"":0.1}",
17,20000,9991,0,65.5,mwpf,74d3d45e03fcfd719da2606bebd4c3f0f6dc09e082a91518888cfa84f649fac0,"{""d"":5,""p"":0.12589254117941673}",
